Period,Ticker,Market_Type,Strategy,Description,Final_Capital,Total_Return_%,Annualized_%,Max_DD_%,Win_Rate_%,Sharpe,Total_Trades,Years,Blown_Up,Stopped_Out,Over_100%,Safe_100%
COVID_Crash_2020,MSFT,stock,Daily_Vol_Adaptive,"Daily, size by volatility",55909.98114117172,11.819962282343432,25.288118266373072,-7.946624180709133,90.32258064516128,0.2060349837671341,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_Kelly_Full,Weekly with full Kelly sizing,55959.54997402101,11.919099948042014,27.553934641193866,-0.5909044947902187,91.66666666666666,0.9808317290468551,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_Kelly_Half,Weekly with half Kelly (safer),55959.54997402101,11.919099948042014,27.553934641193866,-0.5909044947902187,91.66666666666666,0.9808317290468551,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_Ladder_3strikes,"Weekly ladder: 95%, 97%, 100%",67606.44985189862,35.21289970379725,91.9384383226764,0.0,100.0,1.285906537693253,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_MonthStart_AllIn,"Weekly all-in, only first week of month",54495.30001401682,8.990600028033645,23.851230992224302,-0.010578654993549324,83.33333333333334,0.8214127574852808,6,0.4024640657084189,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_Avoid_OpEx,"Weekly all-in, skip options expiry weeks",66352.15839883413,32.70431679766826,84.32506952145913,-0.009900711925895676,94.73684210526315,1.0999334584329277,19,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_50_Daily_5,Weekly 50% + Daily 5% overlay,55959.54997402101,11.919099948042014,27.553934641193866,-0.5909044947902187,91.66666666666666,0.9808317290468551,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSFT,stock,Portfolio_Equal_Weight,Weekly all-in split across 5 stocks,65857.84526542762,31.71569053085524,81.37009904595503,-0.21119554443014987,95.83333333333334,1.259474884826604,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSFT,stock,Portfolio_Vol_Weight,"Weekly, weight by inverse volatility",65857.84526542762,31.71569053085524,81.37009904595503,-0.21119554443014987,95.83333333333334,1.259474884826604,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_Double_After_Loss,"Weekly, double position after loss",56009.29492713591,12.01858985427182,27.799120998909977,0.0,100.0,1.305522682436089,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSFT,stock,Weekly_Safe_Periods,"Weekly all-in, skip high-vol periods",52442.23726973012,4.884474539460236,39.79006697788812,0.0,100.0,2.7146202246766165,8,0.14236824093086928,False,False,False,False
COVID_Crash_2020,QQQ,etf,Weekly_All_In_ATM,"Weekly ATM, 100% capital - proven winner",61076.310467951276,22.152620935902554,54.10545481127702,-0.9824277783174737,91.66666666666666,0.9292581458028986,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,QQQ,etf,Weekly_All_In_95,"Weekly 5% OTM, 100% capital - safer",64321.892318249396,28.643784636498793,72.35177200678913,0.0,100.0,1.15387532045268,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,QQQ,etf,Weekly_All_In_97,"Weekly 3% OTM, 100% capital",62320.85729155544,24.64171458311088,60.972558636572735,0.0,100.0,1.1272230268405448,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,QQQ,etf,Daily_50pct_ATM,Daily ATM with 50% capital - safer compounding,48610.4733267958,-2.7790533464084,-5.528696155295276,-16.177382397553448,74.19354838709677,-0.03284319345966,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,QQQ,etf,Daily_75pct_ATM,Daily ATM with 75% capital,48610.4733267958,-2.7790533464084,-5.528696155295276,-16.177382397553448,74.19354838709677,-0.03284319345966,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,QQQ,etf,Daily_50pct_OTM5,Daily 5% OTM with 50% capital,60632.0253761627,21.264050752325407,47.55965100242161,-3.0351711774829835,97.58064516129032,0.5870094142258848,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,QQQ,etf,Weekly_All_In_ATM_SL20,"Weekly ATM 100%, stop at -20%",61076.310467951276,22.152620935902554,54.10545481127702,-0.9824277783174737,91.66666666666666,0.9292581458028986,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,QQQ,etf,Weekly_All_In_ATM_SL30,"Weekly ATM 100%, stop at -30%",61076.310467951276,22.152620935902554,54.10545481127702,-0.9824277783174737,91.66666666666666,0.9292581458028986,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,QQQ,etf,Weekly_75pct_ATM_SL25,"Weekly ATM 75%, stop at -25%",57827.876497075056,15.655752994150113,36.93666014043788,-0.5011160781724512,91.66666666666666,0.7934146568737065,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,QQQ,etf,Daily_Compound_Max5,"Daily compounding, max 5% of capital per trade",48610.4733267958,-2.7790533464084,-5.528696155295276,-16.177382397553448,74.19354838709677,-0.03284319345966,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,QQQ,etf,Daily_Compound_Max10,"Daily compounding, max 10% of capital per trade",48610.4733267958,-2.7790533464084,-5.528696155295276,-16.177382397553448,74.19354838709677,-0.03284319345966,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,QQQ,etf,Daily_Momentum_50pct,Daily 50% capital only on up days,57174.017827348966,14.348035654697929,31.069897539701042,-0.7239994487450978,94.68085106382979,0.9406204903871416,94,0.49555099247091033,False,False,False,False
COVID_Crash_2020,QQQ,etf,Weekly_Momentum_AllIn,Weekly all-in only after up weeks,58305.78017731567,16.611560354631337,39.39423204926089,0.0,100.0,1.0859960102654744,20,0.46269678302532513,False,False,False,False
